M_s,A_ex,K_u,alpha,angle_theta,angle_phi,Transmission,Phase Shift (deg)
121000.0,4e-12,0,0.01,90.0,0.0,1.0,0.0
119746.54860150404,4e-12,0,0.01694063350611368,37.93883805508695,85.38097968296537,0.09087310467290059,-129.74986274575772
53737.535716292354,4e-12,0,0.01667463795741445,13.916905942480176,3.4903561767549345,0.024592195080122954,-113.54474643011147
38470.193027922185,4e-12,0,0.010410736936325403,86.65882652964996,7.234902030589919,0.11250255713056512,-145.63154994896115
103832.40782369918,4e-12,0,0.019325564798329347,6.235783112787072,35.12935025403399,0.023072955029697167,-103.34829592899167
26813.799584857374,4e-12,0,0.012129133028645512,6.610572484571612,87.24646449584961,0.03319066845279918,-104.7075034912969
106961.17623169128,4e-12,0,0.01980255877312633,55.5352434767822,27.34409639253707,0.029276525940866733,-169.01396070137434
34194.254408344634,4e-12,0,0.017242616741902833,42.21435947315788,7.7348814879010535,0.0351733932935237,-128.64594334051807
74984.5126508497,4e-12,0,0.017717036436177985,45.88970146499306,80.34448016662986,0.0795458726840805,-132.0713517414354
107591.96913338693,4e-12,0,0.015268727720426506,53.773376117611235,84.5297035431516,0.1685173038427007,-156.4394372958102
71765.73293515574,4e-12,0,0.019439274670588175,70.73189871910881,30.47153708047434,0.08428098594486459,-179.56035923357666
118807.57011237879,4e-12,0,0.020329969269206567,10.272806530938253,39.06155430778907,0.02507138999257184,-106.87329982094008
92031.95090413422,4e-12,0,0.018634778405514595,56.574614261893544,46.00161096761455,0.06955299095940318,-162.54662042098786
57833.30736721504,4e-12,0,0.02059580928361166,37.77588035079108,59.85276791891838,0.04788783044693949,-124.90539198793726
119275.17383154121,4e-12,0,0.01817022464152636,39.87782321954065,79.39364469931482,0.0897790468653829,-134.76918921157161
103511.72747872157,4e-12,0,0.012497566117029513,33.6519582180008,66.76346794907558,0.05596428248996218,-127.72625896243581
93162.30706138733,4e-12,0,0.014724026758841085,72.53020063805647,83.65823057206215,0.37568329626922425,160.76224209187916
31793.72795047945,4e-12,0,0.011151405715099948,4.791078514549963,55.41335770320102,0.03048011230491079,-105.910109104506
30101.446983210288,4e-12,0,0.012418214532003678,19.285207984468137,4.791439722034076,0.02872903449445551,-114.85493040720083
55081.94145260881,4e-12,0,0.01407890305481637,60.23119477326691,15.57729346004552,0.05084747399476156,-156.85382563058457
36043.66508390791,4e-12,0,0.015966230960203606,65.0674755007306,33.43049406827012,0.058563115710627396,-137.9826250771766
78484.74219371434,4e-12,0,0.018950482063683216,26.72555619004714,81.63009404118577,0.049480707359779406,-113.94497304087143
95798.26007973078,4e-12,0,0.015998994384945175,26.807690600423342,57.092075773317084,0.041467662779562195,-121.78152155372787
85720.73311304463,4e-12,0,0.010988080141101706,20.04601714664047,70.44761990541082,0.040482856054527845,-111.35035919393177
91433.07988102865,4e-12,0,0.018836789203991015,50.701902737508405,57.82642782270866,0.0753172332781708,-150.03423061898263
92131.2898510305,4e-12,0,0.016777774424101426,64.14745225741356,67.98027819595883,0.1729115032773204,-173.50144355869915
71071.55538319991,4e-12,0,0.01362868042782552,9.128683656425324,78.74553104844851,0.034006195438391264,-102.22064977432429
60689.716484381126,4e-12,0,0.010579001571610751,56.82871017891244,27.60750127190396,0.04972115783523498,-153.17716484743562
95453.86459294816,4e-12,0,0.012636787849143306,0.18656678360214551,7.308877397240605,0.017730100700350145,-96.65340205000334
50199.68886687607,4e-12,0,0.020949256016633937,67.18419396851628,43.90726380739852,0.07730997898968361,-149.6395906780448
109076.28376151319,4e-12,0,0.01232125657236505,83.33705198480035,84.74004134890293,0.6824991314115318,79.29300112438914
52281.443356884425,4e-12,0,0.016133138342708502,62.644252363044345,9.9353626018316,0.054603028336243954,-158.03331931328393
84963.80996567481,4e-12,0,0.01896670517265009,67.95865577563511,13.065470566223446,0.027795770632456123,164.3310070828279
102624.73488484173,4e-12,0,0.018050371659740924,45.63113176029961,28.237577299541964,0.029125790782136306,-157.10497631380932
46971.15520889101,4e-12,0,0.020972492107858162,55.89814426228253,43.681846468527034,0.05516356552940387,-138.24935631480508
117542.34093557211,4e-12,0,0.010256183933177607,26.864428494450788,4.35148682782799,0.018151818961373377,-134.16697501734387
72381.97948643245,4e-12,0,0.018400117213363196,59.622334273428386,50.41696926623783,0.07892286264371338,-155.63726512601983
118960.07861415937,4e-12,0,0.01603075524480583,35.28572258842511,11.626436666426377,0.018186878226211678,-150.84919205771806
25295.82642624773,4e-12,0,0.016256192417959513,56.909217912311206,8.421034516088758,0.04312047567751885,-128.98880387764356
33229.59035244109,4e-12,0,0.012167715396180574,76.95237820856207,40.53452419660114,0.07650170972583799,-138.03103907157097
110169.47966702712,4e-12,0,0.020120000842811098,65.90532993619682,53.67226656696834,0.1728034486315442,163.99477219518528
85664.62602092547,4e-12,0,0.020756638441370674,43.541280575376824,12.5289508766851,0.026541941356052253,-155.81103629326918
63553.29063069644,4e-12,0,0.01571328066970557,21.53431708228649,17.522324183499986,0.025729902219087466,-119.78808472332756
46189.04779355522,4e-12,0,0.013290290032246152,51.439088472493786,70.71586381667437,0.06142087723413517,-128.71681987816638
24428.668313119397,4e-12,0,0.02053398475802224,73.31771803096139,34.89530914439974,0.057532811258207146,-129.3590615402294
80319.64683612509,4e-12,0,0.016579543684685068,65.63242214724163,61.72665370814813,0.1380047396587288,-167.93479485947205
89868.31938418683,4e-12,0,0.016072591392825304,79.27643104940164,14.091017538369034,0.12006350172042861,172.01112955459593
48713.990403634554,4e-12,0,0.017316643014610923,64.3373390971144,3.418154990766214,0.058261819465027766,-156.7650347595431
80375.59839860434,4e-12,0,0.014461222688151896,33.42452659248539,1.1994670052541545,0.025694245369202014,-140.59583898080146
64509.375490963524,4e-12,0,0.015938676664597886,17.40948705785314,30.735161257605178,0.02745917552963904,-114.71802680973995
78746.72446588294,4e-12,0,0.012851310023085755,65.40794524170097,42.17614800273366,0.08748859764558793,-171.35547708131622
97686.57779441144,4e-12,0,0.017958610359702143,7.878825941728712,56.575310446640145,0.02921106756121058,-103.52376120823988
89149.83770080132,4e-12,0,0.013579644154003707,86.8825724585153,4.87904408067612,0.5163648047599374,124.38294240224214
92774.48820443593,4e-12,0,0.017303113163258027,76.26158774402288,33.67674986740593,0.11029821505555873,152.036280609984
69200.90279450933,4e-12,0,0.01870334098500471,65.10187627365792,33.26941193022975,0.06926132358497104,-167.4409784533263
44212.59694738466,4e-12,0,0.018645409280088072,2.1033255144058334,48.232266401443816,0.028164827362901747,-104.26506612140706
42229.54107060113,4e-12,0,0.015642738683400045,72.3753876351574,1.4374676845197762,0.07561142704427048,-152.650115507069
59292.32511640489,4e-12,0,0.013912178793881368,24.652671873197363,84.49488554020917,0.04439255530320882,-110.96269304950982
51407.174672057314,4e-12,0,0.01929030958400585,81.70926061372577,16.823857280307173,0.13153079363752976,-165.11230728301067
33508.875390713045,4e-12,0,0.01824422594023965,57.53262504838858,53.16665802098052,0.05320109437125515,-128.95237962773658
64991.180805313714,4e-12,0,0.01389552190331736,67.80031181923945,73.09346376779253,0.13673044570140622,-155.84881563679377
48374.87275900497,4e-12,0,0.017866109839877624,8.26224340022192,16.403346918274316,0.024813332545065365,-109.07375054713884
104711.10282778397,4e-12,0,0.018529361888551407,11.460958727282566,39.32114071003283,0.025969048059239434,-108.63325130333621
90392.8853591341,4e-12,0,0.010613742074772697,56.27261068210476,49.06281910934731,0.07438100220968312,-160.35838433451605
37345.64621776513,4e-12,0,0.016803525564389955,25.7529395343523,66.15734455847486,0.03838034843032946,-113.02226833753566
67278.22974833607,4e-12,0,0.02061516404490045,52.89952314654238,34.07752435982026,0.048365619706404135,-150.21399283065526
45352.699486894555,4e-12,0,0.01603984930285239,58.711134335294375,21.970343081277395,0.05048481245220487,-144.86960951323613
29630.180033516783,4e-12,0,0.020702622138223277,70.86409751764573,17.780009767737862,0.05986230279051429,-135.83058067174414
90230.83967154824,4e-12,0,0.011259488587121962,8.46020784074875,31.635731405415537,0.023483817228428603,-106.47325737999152
69330.65131043349,4e-12,0,0.014157963632386179,24.891762247570515,83.85171178457811,0.04634256682175301,-111.57335402416936
116149.72195334663,4e-12,0,0.010992173398971707,15.099919538951433,25.387741016045677,0.02208694530465562,-113.38896111143403
97810.02366693808,4e-12,0,0.016833817847631095,25.323468721135562,77.89772104410251,0.04971371704469657,-114.63198740781323
43965.183050850144,4e-12,0,0.011704742613156177,1.5321285969403793,81.90115569093231,0.031334518204001925,-101.10758362817802
37798.13663057642,4e-12,0,0.016189829222144576,28.601270751564908,16.22116174447294,0.030358606119462946,-120.79569560222635
63735.542122956744,4e-12,0,0.013417766665435447,77.2732059054558,53.57061537158938,0.16524672516843483,-172.7442283817015
40312.83571916082,4e-12,0,0.016963460028553642,61.59868294084801,43.03071842790974,0.05906493654620177,-137.70143754689076
58081.42834931581,4e-12,0,0.02073846259858459,47.82724813098422,12.740081322073802,0.036420139558176856,-146.83670722073626
39730.11992146998,4e-12,0,0.020470462284008797,44.3182228480015,3.213295101331773,0.03616501998509433,-133.77632893329653
70480.41969060973,4e-12,0,0.011253574706657062,13.290046761094969,44.59707584800736,0.0293366956296274,-110.09068378575698
101101.32754784655,4e-12,0,0.019087703636760607,79.84550887909384,24.503117529742674,0.3709675374217768,148.7291342515392
29389.55459700626,4e-12,0,0.010135073526959538,59.95089313340704,81.3603521581017,0.05745004364512918,-123.5397440740652
55189.51653793047,4e-12,0,0.02054483451637233,69.65866251691088,49.30732241926279,0.09461330137007581,-155.0566054792988
70354.0635969791,4e-12,0,0.013633584826099972,10.598016252963243,51.83742865411685,0.030034101581173235,-107.26587648980069
51140.355268109764,4e-12,0,0.01633941073710217,82.59009900757404,13.367210819428138,0.13736311439470605,-164.8667752934068
71844.23761913065,4e-12,0,0.017877073816265188,43.94819441752802,15.373459384327832,0.03143065062140307,-148.72741028234236
31146.744145473243,4e-12,0,0.018381899793981367,82.92602562230292,88.32715655138709,0.08587405061234889,-133.8288018955646
88645.60672890264,4e-12,0,0.020370732546893432,75.25898914903556,76.7313505665037,0.3548688293761464,157.11090281592186
39264.30687496713,4e-12,0,0.012933853718189689,71.81743691152688,23.42308799183227,0.07203711425976869,-145.71752686139402
47744.44942444198,4e-12,0,0.020418529288611688,32.80767450724825,72.23113796235938,0.045474527544053046,-117.12017860286812
47595.37596940314,4e-12,0,0.019508248357034144,0.30030821825041565,40.4194642294148,0.02643703827550679,-103.57110905164542
41286.21342138733,4e-12,0,0.017078901321920734,31.879295656536627,39.4879864792342,0.03567412757707424,-120.46184244259774
120496.1485900278,4e-12,0,0.016205193990991323,89.92165622749783,21.689034493145627,0.8883703213795001,2.599428904748899
115126.88313484701,4e-12,0,0.014019793784184196,71.07909557510764,64.87407685821297,0.3326444984402713,133.89346324399133
86971.7566286067,4e-12,0,0.017746980997860443,74.05979683756543,65.91971905872202,0.2683169038453976,163.2953615027534
66745.71786676231,4e-12,0,0.0176751225430417,4.453816550932915,24.70366907598894,0.023019267306286815,-104.92608624528
24930.05608197163,4e-12,0,0.014438060977449495,62.40476020529258,22.28334538488406,0.0475382738753034,-128.87803753876216
110822.3512057029,4e-12,0,0.02065473505814084,24.11408377248957,33.76875034361323,0.028152276569852162,-125.21954333598306
72492.46647425489,4e-12,0,0.011628111782739179,63.80600020773192,2.283835732864533,0.04268876017821701,173.02649915603084
